Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
59,21,4 - 9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 5,409.09,86.50,220.00
59,22,1 - 3 - 2 - 7 - 8 - 5 - 4 - 9 - 6 - 0,415.69,92.00,205.00
59,23,4 - 9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 5,409.09,86.50,220.00
59,24,4 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 5,406.30,90.00,211.00
59,25,5 - 8 - 7 - 9 - 6 - 0 - 3 - 1 - 2 - 4,374.94,83.50,290.00
59,26,7 - 8 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 4,373.70,73.50,315.00
59,27,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
59,28,8 - 7 - 5 - 4 - 9 - 6 - 3 - 0 - 1 - 2,408.91,88.50,225.00
59,29,4 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 5,406.30,90.00,211.00
59,30,5 - 8 - 7 - 6 - 9 - 3 - 1 - 0 - 2 - 4,381.55,79.00,278.00
59,31,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
59,32,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
59,33,8 - 7 - 4 - 5 - 9 - 6 - 3 - 1 - 0 - 2,372.45,72.00,316.00
59,34,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
59,35,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
59,36,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
59,37,4 - 6 - 9 - 3 - 1 - 0 - 2 - 7 - 8 - 5,421.46,89.00,208.00
59,38,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
59,39,5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2 - 4,378.60,68.00,371.00
59,40,7 - 8 - 4 - 5 - 9 - 6 - 3 - 0 - 1 - 2,368.86,68.50,327.00
59,41,8 - 5 - 4 - 6 - 9 - 3 - 1 - 0 - 2 - 7,421.46,89.00,208.00
59,42,5 - 8 - 7 - 6 - 9 - 3 - 1 - 0 - 2 - 4,381.55,79.00,278.00
